Title,Views,Upload_Date,Likes,Comments,Description
When Nepal Introduced Spinach to China #nepal #thenepalicomment #china #spinach,74644,2023-07-05,5322,120,
How Corruption is KILLING Nepal's Agriculture,189913,2023-07-04,6195,309,"Each year, Nepal needs close to a million tons of Chemical Fertilizer for the agriculture season. Like many other things, Nepal does not produce Chemical Fertilizer. What we see is a case of extreme mismanagement and corruption where either farmer receive very less fertilizer or have to depend on illegally imported ones at a very high cost. But why is there such a big negligence in such a sensitive sector and what's the actual reason behind it? 

Source:
https://docs.google.com/document/d/1vbln86234nRV47UncicSeRbphjscsChGs7FEk2UaCXA/edit?usp=sharing

Let's connect :
If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by: Bishwa Rai 
(https://www.instagram.com/bishwa546/)

Animations and Thumbnail: Rabi Kandel 
(https://www.instagram.com/proto_flex/)

Edited by:  Dungrey 
(dugery9849@gmail.com)"
When Fire Destroyed Singha Durbar #singhadurbar #thenepalicomment #nepal #fire,333122,2023-07-02,17034,70,
The Rise of Online Scammer in Nepal,130365,2023-06-30,5388,303,"I recently got a random message on WhatsApp saying I won a lottery, which is clearly a SCAM. I am pretty sure you must have received some suspicious messages in recent times. In fact, scammers steal millions of rupees each year from innocent people. I wanted to know what else was going on in Nepal and who was actually behind it. A person, a group, or a giant corporation of scammers operating via Call centers. This is the world of Scams.


Source: https://docs.google.com/document/d/1nKHGbMfItuFhrVd1nlA7xS7GKpKgj-z4cEw53rPuz-Q/edit?usp=drivesdk

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by: Bishwa Rai (https://www.instagram.com/bishwa546/
Edited by: Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)



#SafeKarobarSabaiKoLagi

#EmpoweringSafeDigitalTransactions #StayInformed #DigitalTransactionsSecurity
#DigitalTransactionSafety #SecureDigitalTransactions #StayProtected"
Why Elephant Polo is not played in Nepal anymore? #elephant  #sports  #thenepalicomment,41776,2023-06-29,2781,17,"Elephant polo is a unique sport played in Nepal that combines the grace of polo with the power and majesty of elephants. The game involves two teams of players riding on elephants and trying to hit a small ball into the opponent's goal using long mallets. It is played on a grass field with similar rules to traditional polo. In the past, Nepal used to host an annual Elephant Polo Tournament, which attracted teams from around the world. However, due to concerns about the welfare of elephants during the training and playing of polo, Nepal no longer hosts such events"
Nepal's first Film Hall,123655,2023-06-26,6769,42,The Story of Nepal's first Film Hall
How Nepal grew it's Forest Back,61531,2023-06-22,4866,26,
How Lakhs of Nepali became STATELESS?,215568,2023-06-21,7518,832,"Citizenship is not just a piece of  government document but it is much more than that. Without it, you wont be able to get a job in Nepal, open bank account, or get a passport. Now imagine a situation where both you parents are Nepali Citizen, you were born in Nepal, lived in Nepal for years, but now you are barred from having Citizenship. This is a reality for several lakhs of people in Nepal who have waited for years to obtain it. But how did this happen? And you must have seen the recent debates on the new Citizenship Amendment Act, which has triggered a nationwide debate on if it be used to give Citizenship to Indian. So, what is it and what's going on?

Sources: https://docs.google.com/document/d/1HJozubKdXUN9qJRiCODcBdNQePKLuHMpFchbToUN2s8/edit?usp=sharing

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by: Parash Bikram Khadka (https://instagram.com/parashbikramk?igshid=MzNlNGNkZWQ4Mg==)
Edited by:  Dungrey (https://www.instagram.com/khadka__ajay/)"
Nepal's First Hydro Power: Pharping,376116,2023-06-18,17613,76,
The Story of Ghanta Ghar #thenepalicomment #ghantaghar #nepal #kathmandu,197855,2023-06-14,11595,62,
Why is SUIC*DE increasing in Nepal?,106507,2023-06-13,10066,485,"In the last 10 years, we have seen a 72% increase in Suic*de Cases in Nepal. There has been a surge in Men, Women and even Minor cases. And No one is talking about it and there has been very few initiative to tackle this. So, what is happening in Nepal and why are Nepali taking their own lives? 

Association between COVID-19 pandemic and the suic*de rates in Nepal : https://pubmed.ncbi.nlm.nih.gov/35073377/

Source: https://docs.google.com/document/d/1Cy11MEUR63D2rC20OORuf_OVvAF8qGLGXuzvgcIm4XU/edit?usp=sharing

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by: Rubina Subedi (https://www.instagram.com/glitchinthematrix_._/)
Edited by: Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)"
Remember 10 rupees Plastic Nepali Note?? #nepal #nepalicurrency #thenepalicomment #nepalrastrabank,1286505,2023-06-10,55213,169,What went wrong with 10 rupees plastic nepali notes?
Why the Innocent Can't Get Out of Prison,223429,2023-06-08,10259,428,"Nepal's legal system struggles with a number of issues that often lead to innocent people being convicted. Police investigations lack rigor and rely heavily on coerced confessions. Forensic evidence is rarely collected or analyzed properly. Legal aid is lacking, especially for the poor. The courts struggle with case backlogs, and judges often give in to political pressure. All of this means that even with the best of intentions, the system traps innocent people - ruining lives and undermining trust in the justice system.
An expert estimates around 20% of people in jail are innocent, so what is going on and how did we reach here?

Sources: https://docs.google.com/document/d/1ZCfysdItrodCEnpaBvwV7CXOygChR49vfCMHPP_fX-U/edit?usp=sharing

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripa....]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Research by: Rubina Subedi (https://instagram.com/glitchinthematrix_._?igshid=YmMyMTA2M2Y=)
Edited by:  Dungrey(https://www.instagram.com/khadka__ajay/)
Thumbnail  and Animations  by :Rabi Kandel (https://www.instagram.com/proto_flex/)"
Oldest Ropeway of South Asia #nepal #ropewayinnepal #ropeway #thenepalicomment,107756,2023-06-06,5049,33,Oldest Ropeway of South Asia #nepal #ropewayinnepal #ropeway
How is Nepali Kagaj Made? #nepal #nepalipaper #loktapaper,69735,2023-06-01,5744,36,How is Nepali Kagaj Made? #nepal #nepalipaper #loktapaper
Why NEPAL needs a NEW CAPITAL CITY?,1238809,2023-05-31,27732,1879,"Nepal's current capital city of Kathmandu is facing serious challenges that are impeding the country's progress. Kathmandu's population has grown rapidly in recent decades, straining the city's infrastructure and resources. Traffic congestion, pollution, overcrowding and rising housing costs have become the norm. The city's vulnerability to natural disasters like earthquakes  further illustrate the need for a new, more sustainable capital. A new capital city could be better designed to meet Nepal's needs for the 21st century and beyond. It could provide an opportunity for economic growth beyond tourism and alleviate some of the pressures facing Kathmandu. While changing a capital city is a complex endeavor, the current problems afflicting Kathmandu strongly suggest that Nepal should seriously consider this option to help build a more prosperous and livable nation for future generations. So, is it time Nepal adopts a new Capital City?

Sources: https://docs.google.com/document/d/1DxRNns0yoYlV0DYXHC161yXEIjn39oMRRQ_Bjc9x9ZQ/edit?usp=sharing

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by: Bishwa Rai (https://www.instagram.com/bishwa546/)

Animations and Thumbnail: Rabi Kandel (https://www.instagram.com/proto_flex/)

Edited by:  Dungrey (dugery9849@gmail.com)
                  Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)"
Nepali Language is Dying before Our Eyes,287886,2023-05-25,12133,1388,"Few months ago, I made a community post asking if you have a younger brother or sister or someone who does not like to study Nepali. And the majority of people said Yes. So, what is going on? Why are the younger generation specially the Urban School Students feels so uninterested to study Nepali? But if this goes on and newer generation stop using Nepali, will it also extinct? 

Sources: https://docs.google.com/document/d/1tqsxFeUoLhvZSrZ7yNY_98yXSBNznFY617yjlZ9-84U/edit?usp=sharing

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]
Research by: Rijan Maharjan (https://www.facebook.com/rijan.maharjan.0528)
Edited by: Mr Dungrey(https://www.instagram.com/khadka__ajay/)
Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)

Visit Clamphook:
https://clamphook.com/"
"Every Nepali Border Conflict, EXPLAINED",374850,2023-05-22,15390,2279,"I recently stumbled upon some articles that talked about the border conflicts of Nepal. I knew about only two such conflicts. One in Kalapani-Lipulekh-Limpiyadhura area and the other in Susta but there were so many places that I did not know. Thus, I started researching about these border problems. And after months of research and difficult process of mapping them all, here is every encroached border of Nepal.

Sources: https://docs.google.com/document/d/1KVq28e6w_sjXQAmDpVM0BUOudkNXwMC4hp-ACmMCODI/edit?usp=sharing

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]
Research by: Rijan Maharjan (https://www.facebook.com/rijan.maharjan.0528)

Map Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)

Edited by: Mr Dungrey(https://www.instagram.com/khadka__ajay/)

Visit Clamphook:
https://clamphook.com/"
Who Really Got to Sagarmatha First? Tenzing or Hillary?,592510,2023-05-08,16115,594,"On May 29th, 1953, Tenzing Norgay and Edmund Hillary became the first people to stand on top of the world at 8,848 meters, marking a historic moment in human perseverance and exploration. In this video, we explore the inspiring story of how these two men conquered Everest and cemented their legacy as the first to summit the tallest peak on earth. But soon controversy broke out about who reached first on Everest and Tenzing's Nationality. Come join me as we go through this Epic Story. 

Sources: https://docs.google.com/document/d/18tyEY8Bd_hDuPRr_qRh-LSTs4FFaqAzd2dBzF7dvvek/edit?usp=sharing

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]
Research by: Rijan Maharjan (https://www.facebook.com/rijan.maharjan.0528)
Edited by: Mr Dungrey(https://www.instagram.com/khadka__ajay/)
Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)
Sub-Editor: Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)

More about Mentorlab and Upgrad:
https://www.upgrad.mentorlabnepal.com/
https://www.mentorlabnepal.com/"
Nepal's Hidden Fight Against BANMARA,692958,2023-04-28,25591,883,"The Banmara plant is an invasive alien species that has been silently taking over Nepal's ecosystems. In this video, we will explore the dangers of Banmara and its effects on the environment. Understand the reason behind its devastating spread and learn how we can prevent it from destroying our forests. Join me as I uncover this silent forest killer, so that we can protect Nepal's ecosystems before it's too late.

Sources: https://docs.google.com/document/d/11qSPCXk-mEX_yhSX6QEnoiU-s6v-OUEBIuWVCLGqA64/edit?usp=sharing

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripa....]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Research by: Rubina Subedi (https://instagram.com/glitchinthematrix_._?igshid=YmMyMTA2M2Y=)
Edited by:  Dungrey(https://www.instagram.com/khadka__ajay/)
Thumbnail  and Animations  by :Rabi Kandel (https://www.instagram.com/proto_flex/)
Sub-Editor: Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/"
When USA Secretly funded Rebels to fight China in Nepal,553367,2023-04-24,12812,1253,"In the late 1950s, the CIA secretly launched a mission to support Tibetan Khampa Rebels in Nepal against Chinese forces and stop the spread of communism. I'll explain why the mission failed and why it's a fascinating piece of history that's been forgotten by most. Together, we'll uncover the hidden story of the CIA's secret mission - and what happened to the fighters that were left in its wake.

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripa....]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]
Research by: Rubina Subedi (https://instagram.com/glitchinthematrix_._?igshid=YmMyMTA2M2Y=)
Edited by:  Dungrey(https://www.instagram.com/khadka__ajay/)
Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)
Sub-Editor: Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)

Sources:
The CIA's Secret War in Tibet
Kenneth J. Conboy, James Morrison:
https://www.amazon.com/CIAs-Secret-Tibet-Modern-Studies/dp/0700617884
https://tchrd.org/tag/gentlemens-agreement/
https://elibrary.tucl.edu.np/bitstream/123456789/9655/1/Full%20THesis.pdf
https://geneva.usmission.gov/2021/01/21/us-statement-at-the-upr-of-nepal-2/
https://myrepublica.nagariknetwork.com/news/nepal-to-ban-march-10-tibetan-uprising-day-events/
https://caamedia.org/shadowcircus/chu.html
https://www.recordnepal.com/secret-nepal-file-foreign-commonwealth-office-nepal-information-khampa
https://smallwarsjournal.com/jrnl/art/cia-tibet-1957-1969
https://www.jstor.org/stable/26202084
https://savetibet.org/news/the-shadow-circus-the-cia-in-tibet/"
Uncovering the REAL Cause of Nepal's Blood Shortage,304247,2023-04-18,12189,487,"Blood banks save lives and provide hope to those in desperate need. However, the dark truth of blood banks in Nepal is far from hope. In this video, I'll be talking about the corrupt mismanagement and the greedy practices that have infiltrated the blood bank industry in Nepal. From lack of transparency to illegal blood trading, come join me as I expose the problems with the blood banks in Nepal.

Special Thanks to Prem Sagar Karmacharya and Dr. Bipin Nepal for their valuable inputs.

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]
Research by: Rijan Maharjan (https://www.facebook.com/rijan.maharjan.0528)
Edited by: Mr Dungrey(https://www.instagram.com/khadka__ajay/)
Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)
Sub-Editor: Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)

Articles
https://english.onlinekhabar.com/blood-donation-prem-sagar-karmacharya.html
https://www.himalkhabar.com/news/127996
https://kathmandupost.com/health/2019/05/01/kathmandus-blood-banks-are-running-out-of-blood
https://kathmandupost.com/national/2019/05/06/death-of-a-child-due-to-blood-mismatch-raises-concerns-over-top-heart-centres-safety-protocols
https://myrepublica.nagariknetwork.com/news/are-blood-transfusions-to-patients-in-nepal-safe/
https://thehimalayantimes.com/kathmandu/262439-pints-of-blood-collected-last-fiscal

YouTube
https://www.youtube.com/watch?v=7c2ngKmFxRE
https://www.youtube.com/watch?v=ecD8Z2SkxTo&t=586s
https://www.youtube.com/watch?v=WMtcVRay1lE&t=1249s
https://www.youtube.com/watch?v=3PWnpcvorVo
https://www.youtube.com/watch?v=2ey79XnfrVY

National Blood Transfusion Policy 2071
https://www.opmcm.gov.np/wp-content/uploads/npolicy/Health/Blood%20niti2071.pdf"
Ram Bahadur Bomjan : Buddha or Criminal?,1498206,2023-04-08,31126,1618,"Ram Bahadur Bomjan, also known as Little Buddha, was one of the most famous men in Nepal at one time. He was the spiritual leader of thousands of people but today he is a fugitive. So how did he transition from being a spiritual leader to an accused criminal? In this video, I'll explore the remarkable rise and dramatic fall of Ram Bahadur Bomjan, and I'll answer the question: What caused him to go from being an admired holy man to a wanted criminal?

Let's connect :

If you are on Facebook: [[https://www.facebook.com/dipesh.tripathi.35.]]

If you are on Twitter: [[https://twitter.com/NepaliComment]

If you are on Instagram: [[https://www.instagram.com/dipesh.trip/]
Research by: Rijan Maharjan ([https://www.facebook.com/rijan.maharjan.0528]
Edited by: Dungrey([https://www.instagram.com/khadka__ajay/]
Animations and Thumbnail by: Rabi Kandel ([https://www.instagram.com/proto_flex/]

### Links

Discovery Documentary

[https://www.youtube.com/watch?v=6Qtwq9C28uo&t=398s]

Halkhoriya times - Mareehi

[https://halkoriatimes.wordpress.com/]
[https://www.youtube.com/@MareechiatTheHalkhoriyaTimes]

Ram Bahadur Bomjan

[https://www.youtube.com/@bsds_org/videos]
[https://bsds.org/en/]

[https://www.facebook.com/MaitriVoiceTvNP]

Travel Story and Research paper

[https://www.gq.com/story/ram-bornjon-miracle-meditating]
[https://paperap.com/paper-on-ram-bahadur-bomjon-research-paper-sources/]

YouTube links
[https://www.youtube.com/watch?v=GSFvsed3QgQ&t=5s]
[https://www.youtube.com/watch?v=8phe0Bj-s9s&t=35s]

News article

[(https://www.telegraph.co.uk/news/worldnews/asia/nepal/1503549/Pilgrims-flock-to-see-Buddha-boy-said-to-have-fasted-six-months.html)
[http://news.bbc.co.uk/2/hi/south_asia/4824530.stm]
[https://www.theguardian.com/world/2019/jan/07/nepali-police-investigate-buddha-boy-ram-bahadur-bomjan-after-several-devotees-disappear]"
The Story of two Dharaharas,1882060,2023-03-30,91495,147,This is the tale of two Dharaharas. #dharahara #nepal #earthquake
How Rice Took Over Nepal (and why it is a problem),467249,2023-03-27,18066,753,"Rice/Bhat is our main staple diet in Nepal. There's hardly any day where we do not consume rice. But the interesting thing is we did not consume rice like this always. Our love for rice is very recent.
But we import most of our rice from India creating a massive trade deficit and also recent studies have shown that rice may not be the most healthy and nutritious crop. But how did we reach here?
How did this one crop that was just consumed by people from upper class, and some limited families became such a important part of our diet? This is the story of Rice.

Bhokmandu: Whatsapp / Viber: +977-9851108888
https://bhokmandu.com.np/

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]
Research by: Rijan Maharjan (https://www.facebook.com/rijan.maharjan.0528)
Edited by: Mr Dungrey(https://www.instagram.com/khadka__ajay/)
Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)
Sub-Editor: Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)


Sources:
Newspaper
https://kathmandupost.com/food/2019/01/18/how-rice-became-a-staple-in-the-hills-and-mountains-and-why-thats-unsustainable
https://kathmandupost.com/money/2018/01/17/nepalis-eating-less-rice-compared-to-a-decade-ago
https://www.nepalitimes.com/here-now/are-nepalis-really-eating-more-rice
https://www.nepalitimes.com/opinion/work-for-food
https://www.nepalitimes.com/editorial/nepals-rice-economy
https://english.onlinekhabar.com/sri-rice-farming-nepal.html
https://english.onlinekhabar.com/rice-maybe-unhealthy-think-not-just-carbs.html
https://english.onlinekhabar.com/rice-maybe-unhealthy-think-not-just-carbs.html
https://myrepublica.nagariknetwork.com/news/dependency-on-rice-increasing-annual-import-touches-rs-50-billion
https://myrepublica.nagariknetwork.com/news/new-technology-can-revolutionize-agriculture-in-nepal/
https://theannapurnaexpress.com/news/nepal-still-importing-rice-sending-out-over-rs-26-billion-a-year-3376
https://theannapurnaexpress.com/news/india-to-export-600-000-tons-of-unmilled-rice-to-nepal-33528

Research papers
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2759204/
https://www.nepjol.info/index.php/AJN/article/view/44796/33691
http://doacrop.gov.np/public/uploads/Pdffile/Rice_Varietal_Mapping_1470895701_1512106555-16567.pdf
https://web.mit.edu/12.000/www/m2019/project1/India.pdf
http://www.tepc.gov.np/tradeagreement/Treaty%20of%20Trade.pdf"
Forest Fire is destroying Nepal ( and why no one Cares),320045,2023-03-18,12024,487,"Few days ago, I was returning back to Kathmandu Valley when I saw a forest fire in a surrounding hill. A very normal sighting these days. But as I started looking at the data across the country and got inside nit-picky things, it was really distressing. Nepal loses 2 lakh hectare of forest each year from such fires, which is more than double the total area of Chitwan National Park. In recent years, forest fires has been on the rise and this might become a very serious threat  very soon but there has been very few initiation to fight against it. So, this is how forest fire is destroying Nepal and why no one cares.

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Editor: Dungrey(https://www.instagram.com/khadka__ajay/)
Sub-Editor: Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Animations and Thumbnail: Rabi Kandel (https://www.instagram.com/proto_flex/)
Research by: Bishwa Rai (https://www.instagram.com/bishwa546/)

Fire Map by NASA: https://firms.modaps.eosdis.nasa.gov/map/#t:adv;d:2021-03-02;@84.7,28.2,8z
We extensively used Fire Map from NASA to see forest fires. If you are free, do check out the historical feature and go back in time to see the number of fires not just in Nepal but around the world.

Sources:
https://www.nepalitimes.com/latest/protecting-nepals-forests-from-fires/
https://www.nepalitimes.com/banner/while-the-forests-are-burning
https://forestaction.org/wp-content/uploads/2022/06/3_Pandey-et-al.pdf
https://www.recordnepal.com/nepal-breathes-uneasy
https://www.recordnepal.com/fire-in-the-mountains
https://www.recordnepal.com/theres-poison-in-the-air
https://gfmc.online/iffn/country/np/np_1-2.html
https://www.cgednepal.org/project/revision-of-forest-fire-management-strategy-2067-and-preparation-of-forest-fire-resilience-framework-and-action-plan-ndrrma-ffms-01-2078-79/
https://www.researchgate.net/publication/261803902_Forest_Fire_in_Nepal
https://kathmandupost.com/climate-environment/2021/11/12/cop26-and-nepal-s-climate-commitments
https://earthobservatory.nasa.gov/images/148185/a-fierce-fire-season-in-nepal
https://gfmc.online/wp-content/uploads/05-IFFN-34-Nepal-1-2.pdf
https://www.theaustraliatoday.com.au/improving-fire-risk-management-in-nepal-through-joint-collaboration-with-australia/
https://www.iqair.com/nepal
https://www.nepalitimes.com/banner/who-now-owns-nepals-forests
https://www.google.com/amp/s/www.citiplat.org/amp/reviving-nepal-s-community-forestry-success-story
https://www.usu.edu/today/story/year-of-intense-wildfires-in-nepal-may-help-scientists-predict-future-blazes
https://kathmandupost.com/climate-environment/2022/12/09/nepal-s-forests-vulnerable-to-increasingly-fierce-fires"
The Deadliest Plane CRASH in Kathmandu Airport| US Bangla 211,829435,2023-03-12,13837,288,"On March 12, 2018, US Bangla BS 211 plane crashed along runway in
Tribhuvan Airport, Kathmandu on its way from Dhaka Bangladesh killing 
51 people on board. The weather was fine, there was no mechanical failure,
yet the plane was erractic and almost hit the control tower before crashing
on the side of runway. But What really happened? This is the story of the
deadliest plane crash in Tribuvan Airport. 

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Edited by: Dungrey(https://www.instagram.com/khadka__ajay/)
Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)

Sources:
Link to final crash report: https://reports.aviation-safety.net/2018/20180312-0_DH8D_S2-AGU.pdf
Conversation in Cockpit: https://tailstrike.com/database/12-march-2018-us-bangla-airlines-211/
Nepal vs Bangladesh: https://archive.dhakatribune.com/world/south-asia/2019/01/28/us-bangla-flight-211-probe-report-nepal-bangladesh-investigators-differ-on-crash-cause
Whom to blame: https://www.thedailystar.net/world/south-asia/news/us-bangla-plane-crash-pilot-error-vs-tower-error-1694020
$19m lawsuit: https://kathmandupost.com/national/2019/07/31/families-of-us-bangla-airlines-crash-victims-file-19-million-lawsuit
FlightRadar24 data: https://twitter.com/flightradar24/status/973130937553780736?lang=en

Other:
https://www.youtube.com/watch?v=76AVBxmZZT8
https://www.nepalitimes.com/banner/1-year-after-us-bangla-crash-fingers-point-to-pilot
https://www.bbc.com/news/world-asia-47027742
https://www.hindustantimes.com/world-news/us-bangla-plane-crash-that-killed-51-caused-by-pilot-smoking-in-cockpit-report/story-uiib26vFlmY9JkkC7Hkx6H.html
https://thehimalayantimes.com/nepal/supreme-court-rejects-plea-to-halt-compensation-hearing
https://www.aeroinside.com/airline/us-bangla-airlines"
How Nepal doubled its TIGER Population,523176,2023-03-03,38632,160,
Nepal's BIGGEST SCAM,528851,2023-02-26,11632,526,"This is the story of a company that became one of the biggest company in just 4 years of operation. It has operation all over Nepal, and other 17 countries and was active in more than 60 countries. With more than 6 lakh
members (3.5 lakh) in Nepal alone, it had collected more than 900 Crores( 300+ Crores) in Nepal. It has 40+ projects in energy, industry, hospitality, health, etc. But it soon came down even quicker than it had risen. The founder were jailed, some remain in hideout for years. Lakh of people lost their money and life savings. But what happened and how. This is the Story of Unity Life International.


Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Edited by: Dungrey(https://www.instagram.com/khadka__ajay/)
Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)

Sources:

Must Read:
Supreme Court Verdict: https://supremecourt.gov.np/web/assets/downloads/judgements/066-WO-1293.pdf

Articles:
https://thehimalayantimes.com/kathmandu/unity-life-international-md-director-nabbed
https://english.khabarhub.com/2020/17/97129/
https://www.deshkonews.com/archives/3757
https://myrepublica.nagariknetwork.com/news/high-court-acquits-unity-life-promoters/
https://kathmandupost.com/miscellaneous/2015/08/01/unity-honchos-in-net-after-5-yrs-on-the-run
https://kathmandupost.com/miscellaneous/2014/04/01/court-convicts-12-unity-honchos
https://www.academia.edu/50166322/Corporate_Independent_Personality_final
https://kathmandupost.com/money/2020/07/27/hed-government-defends-licences-issued-to-firms-engaged-in-networking-business
https://kathmandupost.com/valley/2017/06/13/over-100-nabbed-over-illegal-network-business"
How WTO KILLED Nepali Garment Industry,298331,2023-02-15,10686,419,"25 years ago, there was a booming garment industry in Nepal that brought in more than $200 million in a year. The directly employed worker reached almost a lakh people but just a decade later, it all came crashing down. From the dizzying heights in 1999 to the demise post 2005 but what exactly happened? 

Unlike other industries that failed in Nepal whose primary cause was politics and mismanagement, the fall of this industry lies beyond our border. Sit back and lets dive in.

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Edited by: Mr. Dungrey (https://www.instagram.com/khadka__ajay/)
Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)

Sources:

Must Read:
Death of an Industry: Mallika Shakya (https://www.amazon.in/Death-Industry-Cultural-Manufacturing-Revolution/dp/1107191262)

PDF's:
https://cuts-citee.org/pdf/Case_Study-Nepalese_Garments_Industry_and_Poverty_Reduction.pdf
https://himalaya.socanth.cam.ac.uk/collections/journals/contributions/pdf/CNAS_31_02_04.pdf

Other Links:
https://www.newbusinessage.com/MagazineArticles/view/2964
https://ganasso.org.np/
https://www.nepalitimes.com/banner/a-post-mortem-of-nepals-garment-boom/
https://nepalindata.com/ne/Export-of-Nepali-readymade-garment-hits-13-year-high/
https://thehimalayantimes.com/opinion/seize-the-opportunity
https://nepalilanguage.org/blog/us-trade-preferences-for-nepal
https://www.fibre2fashion.com/news/textile-news/nepal-s-textile-industry-on-verge-of-collapse-ntia-267788-newsdetails.htm"
